N,OriginalReviews,PreprocessedReviews,Restaurant,ID,total_length,weight,total_percentage,label,RestaurantType
1,     الأسرة العربية المطعم متاز وراقي والسعر معقول والاكل لذيذ والخدمة سريعة والتعامل لطيف أنصح بزيارة المطعم واعتبره أفضل المطاعم الايطالية كوبنهاجن      ,     الأسر عرب المطعم تاز ورق سعر عقل اكل لذذ خدم سرع عمل لطف نصح زير طعم عبر فضل طعم يطل كوبنهاجن      ,مطعم ساشي,101,21,10,0.476190476190476,Positive,هندي
2,     كافي مطعم راقي   موقع حلو مخفي واجه الشارع جلاسات خارجية بجنب الريل كوبنهاجن راقي كلاسيكي لمسات ديكور ساحرة متاز لوجبات خفيفه وكوفي  الوجبات الخفيفة الادينمركيه جربو الكيك يالردبيري       ,     كف طعم رقي   موقع حلو خفي وجه شرع جلس خرج جنب ريل كوبنهاجن رقي كلس لمس ديكور سحر متاز وجب خفف وكف  وجب خفف ادينمركيه جربو كيك يالردبيري       ,مطعم ساشي,101,28,2,0.0714285714285714,Positive,هندي
3,     ان كنت جائعاً مناسب المطعم نظيف الخدمة بطيئة الأسعار مناسبةالأكل بالمستوى الرائع أكلت السمك الربيان السمك المطبوخ البخار الطعم يكن جيدا السمك المقلي متازا الربيان جيد      ,     ان كنت جئع نسب المطعم نظف خدم بطئ سعر مناسبةالأكل ستى رئع اكل سمك ربي سمك طبخ بخر طعم يكن جيد سمك قلي تزا ربي جيد      ,مطعم ساشي,101,26,19,0.730769230769231,Positive,هندي
4,     مطعم هندي صغير كنت العائلة ابحث مطعم أكل حلال فوجدت المطعم الصغير الأكل جيد الخدمة متازة اجد زبائن حركة المطعم  مكان المطعم يوحي بوجود المحل مدخل المطعم مدخل البناية كنت ذوي الاحتياجات الخاصة يمكنك صعود الدرج  المطعم نظيف مرتب داخل  سعر الأكل مناسب      ,     مطعم هند صغر ك عئل بحث طعم اكل حلل وجد طعم صغر اكل جيد خدم تاز اجد زبن حرك طعم  كان طعم يوح وجد محل دخل طعم دخل بني كنت ذوي حيج خصة يمك صعد درج  طعم نظف رتب دخل  سعر اكل مناسب      ,مطعم ساشي,101,43,5,0.116279069767442,Positive,هندي
5,     ماشي الحال ماشي الحال ذهبت امريكا اسبانيا وجه لمقارنة      ,     مش حال ماش حال ذهب امر سبن وجه لمقارنة      ,مطعم ساشي,101,9,0,0,Neutral,هندي
6,     شغلة جيد وسعره زايد حبتين شغله جيد سعره زايد حبتين  العنوان الي مسجل الخريطة خطأ العنوان الصح صورة الكرت المرفقة      ,     شغل جيد سعر زيد حبت شغل جيد سعر زيد حبت  عنو الي سجل خرط خطأ عنو لصح صور كرت مرفقة      ,مطعم ساشي,101,20,6,0.3,Positive,هندي
7,     مطعم تركي جديد الخدمه متازة، والموقع ميز وقريب وسط البلد، لديه الاكل الحلال، نظيف ومرتب، الاسعار نسبيا مرتفعة لقربه وسط البلد      ,     مطعم ترك جدد الخدمه ازة، وقع ميز قرب وسط لد، لده اكل حلل، نظف رب، سعر نسب رفع قرب وسط د      ,مطعم ساشي,101,21,11,0.523809523809524,Positive,هندي
8,     المأكولات العربية يمكنك تجربة أصناف الأطعمة العربية المختلفة والإستمتاع بتناول المشروبات الأنغام العربية والرقص ويمكن لمدخنين لنرجيلة  شيشة  الحصول المكان       ,     المأكول عرب م جرب صنف طعم عرب خلف ماع نول شرب غام عرب رقص ويم مدخ رجل  شيش  حصل كان       ,مطعم ساشي,101,20,1,0.05,Positive,هندي
10,     مكان متميز وحيوي وجود المطاعم المتنوعةالجلسات الجميلةجمال المنطقةوجود المقاهييمكن قضاء وقت جميل العائلة الأصدقاء      ,     مك تمز وحو وجود طعم متنوعةالجلس جميلةجمال منطقةوجود مقاهييم قضء وقت جمل عئل اصدقاء      ,مطعم ساشي,101,14,9,0.642857142857143,Positive,هندي
11,    جميل مكان رائع وجميل يبعث البهجه النفس محلات لتسوق أعلى مستوىالعديد الكوفي شوب المطاعم الراقيهمكان هادئ ومتاز لتغير الجو      ,    جميل م رئع جمل بعث بهج نفس محل تسق على مستوىالعديد كوف شوب طعم راقيهمك هدئ تاز تغر جو      ,مطعم ساشي,101,19,16,0.842105263157895,Positive,هندي
